id,user_id,title,abstract,status,submitted_at,updated_at,pdfUrl,category
1,0e9bdab2-8597-47c4-8929-0e64aa84a1e1,L'impact des Technologies Educatives,Une étude sur les impacts des technologies éducatives modernes.,published,2024-03-15T10:00:00Z,2024-03-15T10:00:00Z,https://example.com/pdfs/pub-1.pdf,Education
2,076a5ef7-ead5-4513-8125-2807a4710b6d,Research on AI,An analysis of the current trends in artificial intelligence.,pending,2023-11-20T11:00:00Z,2023-11-20T11:00:00Z,https://example.com/pdfs/pub-2.pdf,Artificial Intelligence
3,4ec9e229-40bf-4216-b0cc-4a63004be94b,Quantum Computing Advances,Exploring the recent advancements in quantum computing.,published,2023-10-05T12:00:00Z,2023-10-05T12:00:00Z,https://example.com/pdfs/pub-3.pdf,Quantum Computing
4,94feecfb-af69-4c34-8931-04d156417065,Nanotechnology in Medicine,Applications of nanotechnology in the field of medicine.,rejected,2023-09-15T13:00:00Z,2023-09-15T13:00:00Z,https://example.com/pdfs/pub-4.pdf,Nanotechnology
5,699647e1-0be1-4af7-a2df-bcb75567417e,Climate Change Effects,A study on the effects of climate change on ecosystems.,published,2023-08-25T14:00:00Z,2023-08-25T14:00:00Z,https://example.com/pdfs/pub-5.pdf,Climate Science
6,a4e6ab18-7fca-40c3-8e4e-3615b1f02145,Blockchain Technology,Innovations and use cases in blockchain technology.,pending,2023-07-30T15:00:00Z,2023-07-30T15:00:00Z,https://example.com/pdfs/pub-6.pdf,Blockchain
7,9dd9ae67-8de8-40f0-ac6d-26050056271e,Cybersecurity Trends,Emerging trends in cybersecurity for the modern age.,published,2023-06-10T16:00:00Z,2023-06-10T16:00:00Z,https://example.com/pdfs/pub-7.pdf,Cybersecurity
8,9319e42c-d0bb-4b6e-a795-584e06985187,Renewable Energy Sources,A review of renewable energy technologies and innovations.,rejected,2023-05-20T17:00:00Z,2023-05-20T17:00:00Z,https://example.com/pdfs/pub-8.pdf,Renewable Energy
9,d612b8c2-ef07-4e69-9147-19ab1ed78369,Artificial Intelligence Ethics,Ethical considerations in the development of AI systems.,published,2023-04-15T18:00:00Z,2023-04-15T18:00:00Z,https://example.com/pdfs/pub-9.pdf,Ethics
10,5553008b-04e5-452e-b758-4eb3674cfe93,Machine Learning Algorithms,Optimization techniques in machine learning algorithms.,pending,2023-03-25T19:00:00Z,2023-03-25T19:00:00Z,https://example.com/pdfs/pub-10.pdf,Machine Learning
